,name,node_type
107,dur:7,duration
108,g1892173298,note_group
109,http://purl.org/midi-ld/notes/55,pitch
110,http://purl.org/midi-ld/notes/58,pitch
111,g601928206,note_group
112,g548087391,note_group
113,http://purl.org/midi-ld/notes/50,pitch
114,http://purl.org/midi-ld/notes/59,pitch
115,g-817816535,note_group
116,http://purl.org/midi-ld/notes/56,pitch
117,http://purl.org/midi-ld/notes/64,pitch
118,g1896768954,note_group
119,g-446601258,note_group
120,http://purl.org/midi-ld/notes/78,pitch
121,http://purl.org/midi-ld/notes/83,pitch
122,g1251144630,note_group
123,g1367371176,note_group
124,http://purl.org/midi-ld/notes/57,pitch
125,g-887013384,note_group
126,http://purl.org/midi-ld/notes/60,pitch
127,g1777886739,note_group
128,g-562120099,note_group
129,http://purl.org/midi-ld/notes/81,pitch
130,dur:13,duration
131,g1422881095,note_group
132,g-769571223,note_group
133,g1251106189,note_group
134,g-1240188076,note_group
135,g-1515940602,note_group
136,http://purl.org/midi-ld/notes/46,pitch
137,dur:28,duration
138,g-1467842774,note_group
139,http://purl.org/midi-ld/notes/92,pitch
140,dur:32,duration
141,g-1249245199,note_group
142,g646816536,note_group
143,http://purl.org/midi-ld/notes/94,pitch
144,g-962910809,note_group
145,g-1240188074,note_group
146,g315211247,note_group
147,g1115455893,note_group
148,g740176829,note_group
149,g-252702765,note_group
150,g1025005765,note_group
151,g-1024307133,note_group
152,g1505280054,note_group
153,http://purl.org/midi-ld/notes/71,pitch
154,g-1243708282,note_group
155,g386359070,note_group
156,g-446601256,note_group
157,g-1854582302,note_group
158,g1011396453,note_group
159,g864185879,note_group
160,g-225217060,note_group
161,g1479905188,note_group
162,dur:20,duration
163,g592613613,note_group
164,g2089895357,note_group
165,g1365600690,note_group
166,g-995624167,note_group
167,g-1854496774,note_group
168,g1695255,note_group
169,g-1174440323,note_group
170,g1103427155,note_group
171,dur:36,duration
172,g247211970,note_group
173,g-679060281,note_group
174,g452891322,note_group
175,dur:11,duration
176,g410358681,note_group
177,g-1174443210,note_group
178,g1341424274,note_group
179,g844521375,note_group
180,g844521372,note_group
181,g1720239,note_group
182,g-543661361,note_group
183,g-2097322872,note_group
184,g-286215161,note_group
185,g844521373,note_group
186,g725102807,note_group
187,g-323433685,note_group
188,g-1174440324,note_group
189,g-1135324540,note_group
190,g-1240190959,note_group
191,g2043085815,note_group
192,http://purl.org/midi-ld/notes/62,pitch
193,g1695253,note_group
194,g-1174441289,note_group
195,g-359450079,note_group
196,g1696214,note_group
197,g1697178,note_group
198,g1251113879,note_group
199,g-1094820653,note_group
200,g890981041,note_group
201,g-524227610,note_group
202,g2144149292,note_group
203,http://purl.org/midi-ld/notes/41,pitch
204,g709401857,note_group
205,g1251172499,note_group
206,http://purl.org/midi-ld/notes/87,pitch
207,g-798134064,note_group
208,g-472546215,note_group
209,g-1174408615,note_group
210,g1724083,note_group
211,g1726966,note_group
212,g231815271,note_group
213,g1693331,note_group
214,g1692374,note_group
215,g289076456,note_group
216,g-486433811,note_group
217,g1633749,note_group
218,g2138613714,note_group
219,http://purl.org/midi-ld/notes/61,pitch
220,g313042723,note_group
221,g1696213,note_group
222,g1251142714,note_group
223,g506753069,note_group
224,g-737258030,note_group
225,g-1831678212,note_group
226,dur:10,duration
227,g-1131787885,note_group
228,g1697175,note_group
229,g-1518324191,note_group
230,g-359425093,note_group
231,g1966909222,note_group
232,g-2097320953,note_group
233,g-400515606,note_group
234,g-1094797589,note_group
235,g343842320,note_group
236,g1695252,note_group
237,g-524229531,note_group
238,dur:9,duration
239,g1527248079,note_group
240,g-386625127,note_group
241,g-1518347255,note_group
242,g-359448157,note_group
243,g-2142115812,note_group
244,g1721199,note_group
245,g1722164,note_group
246,g1394253866,note_group
247,g1663541,note_group
248,g1464115195,note_group
249,g1143316932,note_group
250,g1464086368,note_group
251,g1663540,note_group
252,g1722162,note_group
253,g1720244,note_group
254,g34044774,note_group
255,g-206029914,note_group
256,g1671622802,note_group
257,g1634710,note_group
258,g-2127723470,note_group
259,g793435356,note_group
260,g-1854498698,note_group
261,g-2097349783,note_group
262,g-2041808146,note_group
263,g1692371,note_group
264,g-400519450,note_group
265,g1694292,note_group
266,g-1094822575,note_group
267,g1692369,note_group
268,g451236424,note_group
269,g-798198452,note_group
270,g-951653758,note_group
271,g-357147983,note_group
272,g-947362744,note_group
273,g-1068411249,note_group
274,g1718317,note_group
275,g-572324149,note_group
276,g-589666130,note_group
277,g-1854526566,note_group
278,g1975433532,note_group
279,g652089737,note_group
280,g1666424,note_group
281,g-1345256449,note_group
282,g-752380290,note_group
283,g-1943286122,note_group
284,g1365623754,note_group
285,g-1427413308,note_group
286,g1392221327,note_group
287,g1596880550,note_group
288,g1549973821,note_group
289,g-6656424,note_group
290,g-1112988848,note_group
291,g-2127668693,note_group
292,g506748264,note_group
293,g-1522028349,note_group
294,g-2114355410,note_group
295,g1718316,note_group
296,g-359452001,note_group
297,g-1141867413,note_group
298,g1966886158,note_group
299,g976060383,note_group
300,g-1211558924,note_group
301,g-1211558922,note_group
302,g1692372,note_group
303,g1604920,note_group
304,g-1854501573,note_group
305,g1527241353,note_group
306,g1693332,note_group
307,g-1297449258,note_group
308,g289101440,note_group
309,g-1973502979,note_group
310,g-1297449255,note_group
311,g1505253147,note_group
312,g1857215415,note_group
313,g-1348633636,note_group
314,g1452342528,note_group
315,g1447388933,note_group
316,g1719278,note_group
317,g178436476,note_group
318,g1610097139,note_group
319,g1778491447,note_group
320,g-92770579,note_group
321,g1202743756,note_group
322,g-1763562087,note_group
323,g-629550735,note_group
324,g-1316686877,note_group
325,g-769571220,note_group
326,g-1174436481,note_group
327,g866710131,note_group
328,g-763357042,note_group
329,g1099664331,note_group
330,g1292505939,note_group
331,g1251169615,note_group
332,g930570701,note_group
333,g601930125,note_group
334,g351543384,note_group
335,g-302811640,note_group
336,g601930127,note_group
337,g1949498504,note_group
338,g1691333065,note_group
339,g601930126,note_group
340,g930570704,note_group
341,g911387954,note_group
342,g601930128,note_group
343,g1292529004,note_group
344,g420835824,note_group
345,http://purl.org/midi-ld/notes/43,pitch
346,g420867537,note_group
347,http://purl.org/midi-ld/notes/67,pitch
348,g-294865080,note_group
349,g449465936,note_group
350,g-266512839,note_group
351,g1666423,note_group
352,g-2057344933,note_group
353,g1602036,note_group
354,g1665462,note_group
355,g1875630612,note_group
356,g-687483986,note_group
357,http://purl.org/midi-ld/notes/53,pitch
358,g-833689284,note_group
359,g624193076,note_group
360,g440252065,note_group
361,g925780281,note_group
362,g-371188034,note_group
363,g-482610802,note_group
364,g-1470375233,note_group
365,g1236109319,note_group
366,g-1919332353,note_group
367,g-1639635517,note_group
368,g-119649478,note_group
369,g1431201914,note_group
370,g-2054605660,note_group
371,g-179693313,note_group
372,g1589181484,note_group
373,g-463789811,note_group
374,g1368221407,note_group
375,g-1059926607,note_group
376,g537123877,note_group
377,g-1651618898,note_group
378,g558439705,note_group
379,g-1241303596,note_group
380,g1724085,note_group
381,g1464058499,note_group
382,g-1854494854,note_group
383,g1994038933,note_group
384,g363971760,note_group
385,g1306278136,note_group
386,g1365626637,note_group
387,g-1551045120,note_group
388,g1273182267,note_group
389,g-2041833134,note_group
390,g1688534,note_group
391,g-1854523684,note_group
392,vel:4,velocity
393,g1602999,note_group
394,g-1854523682,note_group
395,g-1297444455,note_group
396,g-1854585187,note_group
397,g-1280896262,note_group
398,g1666430,note_group
399,g313039840,note_group
400,g-1854528487,note_group
401,g1691416,note_group
402,g-190445847,note_group
403,g2111705072,note_group
404,g-548399658,note_group
405,g-465378317,note_group
406,g-524254518,note_group
407,g904040729,note_group
408,g927163196,note_group
409,g1666425,note_group
410,g-2014268542,note_group
411,g1688528,note_group
412,g-380813079,note_group
413,g619091235,note_group
414,g-2008508298,note_group
415,http://purl.org/midi-ld/notes/34,pitch
416,dur:40,duration
417,g49752607,note_group
418,dur:38,duration
419,g-2100542583,note_group
420,dur:39,duration
421,g53446691,note_group
422,g2111702191,note_group
423,g1688526,note_group
424,g1688527,note_group
425,g393956014,note_group
426,g451268138,note_group
427,g927163203,note_group
428,g1692376,note_group
429,g1693333,note_group
430,g2140359211,note_group
431,g2001947889,note_group
432,g1673810811,note_group
433,g-12976871,note_group
434,g-826737869,note_group
435,g140929824,note_group
436,g1619094159,note_group
437,g179479835,note_group
438,g-1094797587,note_group
439,g-1370120087,note_group
440,g4281149,note_group
441,g-1854498696,note_group
442,g-1684084700,note_group
443,g313046569,note_group
444,g-1402570234,note_group
445,g1844911792,note_group
446,g898531166,note_group
447,g1691417,note_group
448,g-380779443,note_group
449,g52344355,note_group
450,g927163202,note_group
451,g-1987751038,note_group
452,g-1701336214,note_group
453,g-548399656,note_group
454,g2111705074,note_group
455,g-1987804854,note_group
456,g777665103,note_group
457,g1040620250,note_group
458,g-548399657,note_group
459,g-1297446377,note_group
460,g118820817,note_group
461,g-465378320,note_group
462,g-1030441992,note_group
463,g731409728,note_group
464,g898534049,note_group
465,g2140362094,note_group
466,g1659696,note_group
467,g1338712229,note_group
468,g-1987782747,note_group
469,g1273204374,note_group
470,g-2011460408,note_group
471,g392261451,note_group
472,g-805874279,note_group
473,g1005794191,note_group
474,g-1322711978,note_group
475,g1692378,note_group
476,g1691408,note_group
477,g1691411,note_group
478,g392261450,note_group
479,g640405284,note_group
480,g173446632,note_group
481,g-1641462272,note_group
482,g1355752373,note_group
483,g2136091800,note_group
484,g-1706762454,note_group
485,g-446601257,note_group
486,g1267831734,note_group
487,g-1489307262,note_group
488,g1313155580,note_group
489,g-929591274,note_group
490,g557623131,note_group
491,g1656036851,note_group
492,g-1240188071,note_group
493,g178373050,note_group
494,g-82466794,note_group
495,g-1854526567,note_group
496,g1656033961,note_group
497,g-1442286985,note_group
498,g-246532486,note_group
499,vel:3,velocity
500,g1666426,note_group
501,g1663548,note_group
502,g-1006939948,note_group
503,g2106385427,note_group
504,g1799925398,note_group
505,g1777886737,note_group
506,g462117292,note_group
507,g462173992,note_group
508,g1394287504,note_group
509,g-1268816264,note_group
510,g-1158211784,note_group
511,g-1854496771,note_group
512,g1400354700,note_group
513,g1255336896,note_group
514,g601928209,note_group
515,g392239349,note_group
516,g-1174443211,note_group
517,g-1854498697,note_group
518,g-170575344,note_group
519,g235025197,note_group
520,g235025196,note_group
521,g1695256,note_group
522,g1011396452,note_group
523,g888655807,note_group
524,g-419392606,note_group
525,g-1776260803,note_group
526,g600972248,note_group
527,g-1174438406,note_group
528,g-756494276,note_group
529,g-479407861,note_group
530,g1857207728,note_group
531,g2095143559,note_group
532,g2029847603,note_group
533,g1957708316,note_group
534,g1631404177,note_group
535,g1312452095,note_group
536,g2112376673,note_group
537,g546518332,note_group
538,g-459976816,note_group
539,g1663543,note_group
540,g1267809627,note_group
541,g-1022328679,note_group
542,g1704344909,note_group
543,g-1268818187,note_group
544,g2089895358,note_group
545,g-1917460599,note_group
546,dur:47,duration
547,g-1714777879,note_group
548,g-751245497,note_group
549,g497771934,note_group
550,g-399584841,note_group
551,g-1234610786,note_group
552,g1430814336,note_group
553,g1691410,note_group
554,g1693334,note_group
555,g1605879,note_group
556,http://purl.org/midi-ld/notes/47,pitch
557,g1428317875,note_group
558,g-1154300621,note_group
559,g-323462520,note_group
560,g-835233100,note_group
561,g-1690231677,note_group
562,g1820361311,note_group
563,g646816542,note_group
564,g52344388,note_group
565,dur:23,duration
566,g1251138865,note_group
567,g2035395671,note_group
568,g-1181072718,note_group
569,g1720243,note_group
570,g-1210459993,note_group
571,dur:30,duration
572,g2052478446,note_group
573,g152339863,note_group
574,g-2141687095,note_group
575,dur:25,duration
576,g1236109315,note_group
577,g866111219,note_group
578,g1628943,note_group
579,g-2097347859,note_group
580,g-2057344935,note_group
581,g1295350176,note_group
582,g-564783039,note_group
583,g-532604910,note_group
584,g-781976670,note_group
585,g-1008881303,note_group
586,g537430592,note_group
587,g211766837,note_group
588,g-503961938,note_group
589,g-352654601,note_group
590,g1691414,note_group
591,g1897240617,note_group
592,g-1614301933,note_group
593,g-504029142,note_group
594,dur:12,duration
595,g1688781495,note_group
596,g-885526817,note_group
597,g-7033922,note_group
598,g52344358,note_group
599,dur:14,duration
600,g1464058496,note_group
601,g-1551045122,note_group
602,g1502942318,note_group
603,g-544087627,note_group
604,g-950518534,note_group
605,g-1259976360,note_group
606,g1692377,note_group
607,g-2043088431,note_group
608,g1464086369,note_group
609,g1420980002,note_group
610,g15920840,note_group
611,g825837572,note_group
612,g-1932323562,note_group
613,g-1468766358,note_group
614,g-564003226,note_group
615,g1163244915,note_group
616,g1162470348,note_group
617,g-1182929766,note_group
618,g-1174468197,note_group
619,g-1973530848,note_group
620,g-1019661872,note_group
621,g2029845676,note_group
622,g-465378323,note_group
623,g-1932300501,note_group
624,g-1094824496,note_group
625,g451236425,note_group
626,g-1684084692,note_group
627,g-1345313146,note_group
628,g1338715114,note_group
629,g-1987782751,note_group
630,g-1437874514,note_group
631,g-2143970469,note_group
632,g-955221928,note_group
633,g-1297423313,note_group
634,g-465378321,note_group
635,g-1359068693,note_group
636,g-522659687,note_group
637,g1222448207,note_group
638,g469678855,note_group
639,g1933019406,note_group
640,g-1211533931,note_group
641,g123369771,note_group
642,g-1117207010,note_group
643,g-1887788917,note_group
644,g-1708967588,note_group
645,g-1549382035,note_group
646,g506753068,note_group
647,g1365857367,note_group
648,g709349963,note_group
649,g944868214,note_group
650,g1654163840,note_group
651,g-1932323563,note_group
652,g1090185011,note_group
653,g-237198171,note_group
654,g-2069315097,note_group
655,g-1211558919,note_group
656,g313042724,note_group
657,g1549973822,note_group
658,g-1187942572,note_group
659,g-49169000,note_group
660,g-465380242,note_group
661,g1658735,note_group
662,g-1352963021,note_group
663,g-113292049,note_group
664,g99782126,note_group
665,g912390721,note_group
666,g-1596114856,note_group
667,g-697561864,note_group
668,g123369770,note_group
669,g1549970937,note_group
670,g1335090625,note_group
671,g1732782187,note_group
672,g-1552457080,note_group
673,g-1552457081,note_group
674,g394576769,note_group
675,g844991832,note_group
676,g287599536,note_group
677,g866116024,note_group
678,g-602139849,note_group
679,g535348583,note_group
680,g392293171,note_group
681,g-429661351,note_group
682,g1251082164,note_group
683,g-1515940577,note_group
684,g-1515940576,note_group
685,dur:33,duration
686,g-1690172098,note_group
687,g1998359192,note_group
688,g1802603473,note_group
689,g410358745,note_group
690,g-435208295,note_group
691,g-1489012178,note_group
692,g1691412,note_group
693,g-1297421391,note_group
694,g-1097019256,note_group
695,g1341426197,note_group
696,g1164853425,note_group
697,g955792354,note_group
698,g2010178942,note_group
699,g1068785267,note_group
700,g1161177093,note_group
701,g966331116,note_group
702,g-1950413947,note_group
703,g1217160139,note_group
704,g-1059926605,note_group
705,g-1654094639,note_group
706,g-1315083060,note_group
707,dur:52,duration
708,g21968640,note_group
709,g-250898532,note_group
710,g756626657,note_group
711,g537126755,note_group
712,g-524258362,note_group
713,g904040730,note_group
714,g765927059,note_group
715,g-1875044121,note_group
716,g788297228,note_group
717,g927978958,note_group
718,g-2039508640,note_group
719,g-1322711977,note_group
720,g52463519,note_group
721,g392266257,note_group
722,g-1174440328,note_group
723,g1688532,note_group
724,g-1862790093,note_group
725,g-423735497,note_group
726,g-2053802670,note_group
727,g-2039508642,note_group
728,g-1322711979,note_group
729,g-1854501581,note_group
730,g-1651654462,note_group
731,g537126753,note_group
732,g-1489037158,note_group
733,g601928204,note_group
734,g-1911785827,note_group
735,http://purl.org/midi-ld/notes/40,pitch
736,g-446601255,note_group
737,g2144176205,note_group
738,g1791033928,note_group
739,g-517740031,note_group
740,g-814548033,note_group
741,g392236464,note_group
742,g-1436626848,note_group
743,g1326475969,note_group
744,g1131317879,note_group
745,g-2041781240,note_group
746,g-1956195679,note_group
747,g2144181006,note_group
748,g-562179294,note_group
749,g-1911758920,note_group
750,g-2004418192,note_group
751,g-1457302535,note_group
752,g1532291868,note_group
753,g-486298228,note_group
754,g1753278647,note_group
755,g273690166,note_group
756,g-2092192981,note_group
757,g1349787312,note_group
758,g-1565763163,note_group
759,g-1565763162,note_group
760,g597432793,note_group
761,g1349787308,note_group
762,g1195599150,note_group
763,g-1854560201,note_group
764,g392204753,note_group
765,g1449338536,note_group
766,g795294117,note_group
767,g-1137658976,note_group
768,dur:22,duration
769,g-1980410091,note_group
770,g1822449198,note_group
771,g52344418,note_group
772,g765927058,note_group
773,g-524199741,note_group
774,g366749553,note_group
775,g-2057344932,note_group
776,g240395986,note_group
777,g-446703638,note_group
778,g2046941014,note_group
779,g-1174382666,note_group
780,g624193074,note_group
781,g527421796,note_group
782,g-792912158,note_group
783,g449497651,note_group
784,g-503999348,note_group
785,dur:15,duration
786,g52552895,note_group
787,g52463521,note_group
788,g-1174465314,note_group
789,g1688529,note_group
790,g1537151546,note_group
791,g393956012,note_group
792,g363607313,note_group
793,g-1862790094,note_group
794,g831992658,note_group
795,g-1154298700,note_group
796,g-1322711976,note_group
797,g392239348,note_group
798,g-1642991465,note_group
799,g-465378322,note_group
800,g-1932300500,note_group
801,g1128711927,note_group
802,g-1531561730,note_group
803,g-470504592,note_group
804,g-503999350,note_group
805,g52463520,note_group
806,g-1862781446,note_group
807,g-423735499,note_group
808,g605350340,note_group
809,g1659700,note_group
810,g-366456053,note_group
811,g617383303,note_group
812,g-1489034281,note_group
813,g-1178283262,note_group
814,g1691415,note_group
815,g-524253557,note_group
816,g758047,note_group
817,g123345746,note_group
818,g37457332,note_group
819,g-1182929767,note_group
820,g1602997,note_group
821,g2133366827,note_group
822,g1913120071,note_group
823,g380442966,note_group
824,g563028861,note_group
825,g13335613,note_group
826,g1032421702,note_group
827,g-1996523226,note_group
828,g-564867163,note_group
829,g2135437149,note_group
830,g-1152004958,note_group
831,g109276201,note_group
832,g821533815,note_group
833,g-1955919727,note_group
834,g392264333,note_group
835,g-1565766048,note_group
836,g-1911517813,note_group
837,g-2014268548,note_group
838,g1107595115,note_group
839,g-2011516568,note_group
840,g-725380612,note_group
841,g41253237,note_group
842,g1349787306,note_group
843,g-206620085,note_group
844,g-2041779311,note_group
845,g-241518956,note_group
846,g-698798165,note_group
847,g1798656154,note_group
848,g172175126,note_group
849,g706905209,note_group
850,g1608147467,note_group
851,g-2096342884,note_group
852,g-731918575,note_group
853,g-83238734,note_group
854,g2025930137,note_group
855,g1496818419,note_group
856,g1808575545,note_group
857,g-882459831,note_group
858,g-1643829450,note_group
859,g1663545,note_group
860,g-698771258,note_group
861,g847207702,note_group
862,g-1228655908,note_group
863,g537071979,note_group
864,g943713,note_group
865,g1892326621,note_group
866,g2005315923,note_group
867,g601928210,note_group
868,g537126754,note_group
869,g601928205,note_group
870,g392264335,note_group
871,g-1657565865,note_group
872,dur:35,duration
873,g-795472043,note_group
874,g-1892684281,note_group
875,g-479630712,note_group
876,g902836896,note_group
877,g-779266246,note_group
878,g1218812289,note_group
879,g-851476030,note_group
880,g-2131536753,note_group
881,g-1404931359,note_group
882,g2481343,note_group
883,g-1322711908,note_group
884,g52463588,note_group
885,g-2133319685,note_group
886,g1704370262,note_group
887,g52344417,note_group
888,dur:31,duration
889,g709401856,note_group
890,g1537210167,note_group
891,g-692920617,note_group
892,g1622432237,note_group
893,g-503964820,note_group
894,g1528934843,note_group
895,g-352627692,note_group
896,g652121452,note_group
897,g451155694,note_group
898,g14364625,note_group
899,g-74567220,note_group
900,g-67759438,note_group
901,g1724086,note_group
902,g392239347,note_group
903,g2138617562,note_group
904,g2047422673,note_group
905,g1451236222,note_group
906,g1096379038,note_group
907,g-503880188,note_group
908,g52463518,note_group
909,g-2041811028,note_group
910,g1877500535,note_group
911,g-2034587104,note_group
912,g63518612,note_group
913,g-1854501577,note_group
914,g-1489012176,note_group
915,g-1178261157,note_group
916,g-1875044122,note_group
917,g-1297446378,note_group
918,g-1910934945,note_group
919,g23350302,note_group
920,g-503999353,note_group
921,g-536077216,note_group
922,g1693336,note_group
923,g-551288841,note_group
924,g391104401,note_group
925,g-522659690,note_group
926,g-1866657723,note_group
927,g1392194425,note_group
928,g-2070437293,note_group
929,g1908906042,note_group
930,g1652596747,note_group
931,g-413832861,note_group
932,g-873057250,note_group
933,g-1804120122,note_group
934,g617406367,note_group
935,g1355207135,note_group
936,g-1489009295,note_group
937,g-1178258276,note_group
938,g-1427443091,note_group
939,g1392191544,note_group
940,g1005794192,note_group
941,g-1769332502,note_group
942,g-1955916844,note_group
943,g1694291,note_group
944,g1690452,note_group
945,g898534044,note_group
946,g-749641880,note_group
947,g1306281980,note_group
948,g-1427465202,note_group
949,g-1517668236,note_group
950,g-1016925296,note_group
951,g-322603375,note_group
952,g-790992815,note_group
953,g1532291866,note_group
954,g-486298230,note_group
955,g385668466,note_group
956,g-246532480,note_group
957,g2021483600,note_group
958,g-1561998910,note_group
959,g-1396690318,note_group
960,g1869909158,note_group
961,g486855891,note_group
962,g1532291867,note_group
963,g-486298229,note_group
964,g1605676189,note_group
965,g235025203,note_group
966,g-1565763164,note_group
967,g-2067467332,note_group
968,g597432791,note_group
969,g-1125671469,note_group
970,g1449340458,note_group
971,g795296039,note_group
972,g-1657565866,note_group
973,dur:34,duration
974,g1232948200,note_group
975,g-676945208,note_group
976,g-1923664686,note_group
977,g1781713817,note_group
978,g-724796822,note_group
979,g1253102142,note_group
980,g-1936658607,note_group
981,g1330729241,note_group
982,g574076647,note_group
983,g1044526928,note_group
984,g-1184866402,note_group
985,g-823671415,note_group
986,g597645997,note_group
987,g882988400,note_group
988,g587671322,note_group
989,g-792912156,note_group
990,g-1091972548,note_group
991,g-932601183,note_group
992,g-1739984977,note_group
993,g-1135263036,note_group
994,g-266765228,note_group
995,g1718319,note_group
996,g-1174436484,note_group
997,g1692375,note_group
998,g898534050,note_group
999,g-995595338,note_group
1000,g121960493,note_group
1001,g1537182297,note_group
1002,g554240545,note_group
1003,g1251144629,note_group
1004,g53387041,note_group
1005,g1537148661,note_group
1006,g-2086021611,note_group
1007,g986466684,note_group
1008,g-673712276,note_group
1009,g-1071680259,note_group
1010,g-1777062244,note_group
1011,g1720242,note_group
1012,g-1097017334,note_group
1013,g123369764,note_group
1014,g927188182,note_group
1015,g1251169618,note_group
1016,g-219270733,note_group
1017,g1751954,note_group
1018,g1750033,note_group
1019,g1751955,note_group
1020,g844521368,note_group
1021,g-928093140,note_group
1022,g-843007992,note_group
1023,g-1130654480,note_group
1024,g1532678219,note_group
1025,g530633447,note_group
1026,g-1014924180,note_group
1027,g-465378319,note_group
1028,g1751958,note_group
1029,Blues_-_Modern-B_B_King_-_How_Blue_Can_You_Get,MIDI
1030,g-409442230,note_group
1031,http://purl.org/midi-ld/notes/35,pitch
1032,g1667384,note_group
1033,http://purl.org/midi-ld/notes/69,pitch
1034,g647805746,note_group
1035,g575665507,note_group
1036,http://purl.org/midi-ld/notes/37,pitch
1037,g1664505,note_group
1038,http://purl.org/midi-ld/notes/66,pitch
1039,g-873329489,note_group
1040,g1454214323,note_group
1041,g392268179,note_group
1042,g1660659,note_group
1043,g1602035,note_group
1044,g1631827,note_group
1045,g-1370109981,note_group
1046,http://purl.org/midi-ld/notes/54,pitch
1047,dur:18,duration
1048,g-650885724,note_group
1049,g-2002767704,note_group
1050,g51420838,note_group
1051,g-762859495,note_group
1052,g-409438386,note_group
1053,g1632790,note_group
1054,g-558693781,note_group
1055,g703522284,note_group
1056,http://purl.org/midi-ld/notes/30,pitch
1057,g1765833867,note_group
1058,http://purl.org/midi-ld/notes/52,pitch
1059,g1033966742,note_group
1060,g-768358699,note_group
1061,g-1564326500,note_group
1062,g-579961075,note_group
1063,g-798924244,note_group
1064,g1619364390,note_group
1065,g-255593859,note_group
1066,g-835191437,note_group
1067,http://purl.org/midi-ld/notes/31,pitch
1068,g1665463,note_group
1069,g1365629527,note_group
1070,g1421524024,note_group
1071,g-802494734,note_group
1072,http://purl.org/midi-ld/notes/32,pitch
1073,g1665464,note_group
1074,g1480141321,note_group
1075,g318239888,note_group
1076,g278649141,note_group
1077,g1660658,note_group
1078,g948459171,note_group
1079,dur:17,duration
1080,g2075550403,note_group
1081,http://purl.org/midi-ld/notes/45,pitch
1082,g-29907245,note_group
1083,http://purl.org/midi-ld/notes/33,pitch
1084,g-1787079531,note_group
1085,g1603958,note_group
1086,g-1854543166,note_group
1087,g478120073,note_group
1088,g-379054905,note_group
1089,g590546478,note_group
1090,g-701108788,note_group
1091,g875398966,note_group
1092,g-210141425,note_group
1093,g1843918789,note_group
1094,g20342083,note_group
1095,g1599152,note_group
1096,g729777656,note_group
1097,g-1639925390,note_group
1098,g1690450,note_group
1099,g336676753,note_group
